2019-01-23 09:51:07,673 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question5:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question5/pom.xml.
2019-01-23 09:51:07,778 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:51:07,794 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-23 09:51:07,798 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:51:07,820 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-23 09:51:07,839 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question1:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question1/pom.xml.
2019-01-23 09:51:07,977 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question3:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question3/pom.xml.
2019-01-23 09:51:08,298 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question5:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question5/pom.xml.
2019-01-23 09:51:08,786 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question2:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question2/pom.xml.
2019-01-23 09:51:09,105 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question4:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question4/pom.xml.
